Course Name,Cut-off ATAR,Duration,Award Type,Field of Education,Provider,Campus,Level
Associate Degree in Arts (R2B),N/A,2 years,Associate Degree,Society & Culture n.e.c.,University of Tasmania,Burnie TAS,Undergraduate
Associate Degree in Arts (R2B),N/A,2 years,Associate Degree,Society & Culture n.e.c.,University of Tasmania,Hobart TAS,Undergraduate
Associate Degree in Built Environment,60.60,2 years,Associate Degree,Building,University of South Australia,Adelaide SA,Undergraduate
Associate Degree in Business,See details,2 years,Associate Degree,Business & Management n.e.c.,RMIT University,City Campus VIC,Undergraduate
Associate Degree in Business,53.70,2 years,Associate Degree,Management & Commerce n.e.c.,University of the Sunshine Coast,Sippy Downs QLD,Undergraduate
Associate Degree in Business Administration (Indigenous Studies),N/A,2 years,Associate Degree,Business Management,Australian Catholic University,BRISBANE QLD,Undergraduate
Associate Degree in Business Management (C2C),N/A,2 years,Associate Degree,Business Management,University of Tasmania,Burnie TAS,Undergraduate
Associate Degree in Business Management (C2C),N/A,2 years,Associate Degree,Business Management,University of Tasmania,Hobart TAS,Undergraduate
Associate Degree in Business Management (C2C),N/A,2 years,Associate Degree,Business Management,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree in Computing (S2D),N/A,2 years,Associate Degree,Computer Science,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree in Computing (S2D),N/A,2 years,Associate Degree,Computer Science,University of Tasmania,Hobart TAS,Undergraduate
Associate Degree in Creative Industries,N/A,2 years,Associate Degree,Business & Management n.e.c.,University of Western Sydney,Nirimba (Blacktown) NSW,Undergraduate
Associate Degree in Creative Industries,N/A,2 years,Associate Degree,Business & Management n.e.c.,University of Western Sydney,Westmead Precinct NSW,Undergraduate
Associate Degree in Criminology and Justice,55.00,2 years,Associate Degree,Criminology,Edith Cowan University,JOONDALUP WA,Undergraduate
Associate Degree in Criminology and Justice,55.00,2 years,Associate Degree,Criminology,Edith Cowan University,DISTANCE EDUCATION,Undergraduate
ASSOCIATE DEGREE IN CULINARY MANAGEMENT,N/A,2 years,Associate Degree,Hospitality Management,Victoria University,Footscray Park VIC,Undergraduate
ASSOCIATE DEGREE IN CULINARY MANAGEMENT,N/A,2 years,Associate Degree,Hospitality Management,Victoria University,Footscray Nicholson VIC,Undergraduate
Associate Degree in Dementia Care (M2D),N/A,2 years,Associate Degree,General Medicine,University of Tasmania,Sydney NSW,Undergraduate
Associate Degree in Dementia Care (M2D),N/A,2 years,Associate Degree,General Medicine,University of Tasmania,Hobart TAS,Undergraduate
ASSOCIATE DEGREE IN DERMAL THERAPIES,N/A,2 years,Associate Degree,Health n.e.c.,Victoria University,CITY QUEEN STREET VIC,Undergraduate
ASSOCIATE DEGREE IN DERMAL THERAPIES,N/A,2 years,Associate Degree,Health n.e.c.,Victoria University,INTERNET (AUSTRALIA) VIC,Undergraduate
ASSOCIATE DEGREE IN ENGINEERING,N/A,2 years,Associate Degree,Other Engineering & Related Technologies,Charles Darwin University,CASUARINA NT,Undergraduate
ASSOCIATE DEGREE IN ENGINEERING,N/A,2 years,Associate Degree,Other Engineering & Related Technologies,Charles Darwin University,DISTANCE EDUCATION,Undergraduate
ASSOCIATE DEGREE IN ENGINEERING,N/A,1.5 years,Associate Degree,Engineering & Related Technologies,Swinburne University of Technology,Hawthorn VIC,Undergraduate
Associate Degree in Engineering,N/A,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,University of South Australia,Mawson Lakes SA,Undergraduate
Associate Degree in Engineering,N/A,2 years,Associate Degree,Engineering & Related Technologies n.e.c.,University of South Australia,Mawson Lakes SA,Undergraduate
Associate Degree in Engineering,N/A,2 years,Associate Degree,Engineering & Related Technologies,University of Western Sydney,Nirimba (Blacktown) NSW,Undergraduate
Associate Degree in Engineering,N/A,2 years,Associate Degree,Engineering & Related Technologies,University of Western Sydney,Lithgow Campus NSW,Undergraduate
Associate Degree in Engineering (Mechanical) (72D),N/A,2 years,Associate Degree,"Manufacturing, Engineering & Technology n.e.c.",University of Tasmania,Burnie TAS,Undergraduate
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,N/A,2 years,Associate Degree,Tourism (Detailed),Victoria University,Footscray Park VIC,Undergraduate
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,N/A,2 years,Associate Degree,Tourism (Detailed),Victoria University,Footscray Nicholson VIC,Undergraduate
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,N/A,2 years,Associate Degree,Tourism (Detailed),Victoria University,CITY KING CAMPUS VIC,Undergraduate
ASSOCIATE DEGREE IN ENTERPRISE SKILLS,N/A,2 years,Associate Degree,Tourism (Detailed),Victoria University,Newport VIC,Undergraduate
Associate Degree in Environmental Horticulture,57.50,2 years,Associate Degree,Horticulture,The University of Melbourne,RICHMOND VIC,Undergraduate
Associate Degree in Fine Art,N/A,2 years,Associate Degree,Graphic Arts & Design Studies,Curtin University of Technology,Bentley Campus WA,Undergraduate
Associate Degree in Furniture Design (S2F),N/A,2 years,Associate Degree,Crafts,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree in General Studies (C2B),N/A,2 years,Associate Degree,Management & Commerce n.e.c.,University of Tasmania,Burnie TAS,Undergraduate
Associate Degree in General Studies (C2B),N/A,2 years,Associate Degree,Management & Commerce n.e.c.,University of Tasmania,Hobart TAS,Undergraduate
Associate Degree in General Studies (C2B),N/A,2 years,Associate Degree,Management & Commerce n.e.c.,University of Tasmania,Launceston TAS,Undergraduate
Associate Degree in Health Sciences,N/A,2 years,Associate Degree,Other Health,Bond University,Bond University QLD,Undergraduate
